Signal,State,Switch time,Type,Script
CLEAR = [ ROUTE R5274 SET ];
CLEAR = [ ROUTE R5286 SET ];
CLEAR = [ ROUTE RG7270 SET ];

N10515,ON,1,2 Aspect,CLEAR = [ ROUTE R3897 SET ];
CLEAR = [ ROUTE R3898 SET ];
CLEAR = [ ROUTE R5239 SET ];
CLEAR = [ TRACKCIRCUIT TC3178 ROUTE_LOCKED_UP ];
CLEAR = [ TRACKCIRCUIT TC3178 ROUTE_LOCKED_DOWN ];

N10593,ON,1,2 Aspect,CLEAR = [ ROUTE R3908 SET ];

N10595,ON,1,2 Aspect,CLEAR = [ ROUTE R5074 SET ];

N10598,ON,1,2 Aspect,CLEAR = [ ROUTE R5072 SET ];

N10611,ON,1,2 Aspect,CLEAR = [ ROUTE R3906 SET ];

N10614,ON,1,2 Aspect,CLEAR = [ ROUTE R3907 SET ];

N10615,ON,1,2 Aspect,CLEAR = [ ROUTE R5149 SET ];

N10650,ON,1,2 Aspect,CLEAR = [ ROUTE R3910 SET ];

N10653,ON,1,2 Aspect,CLEAR = [ ROUTE R3909 SET ];

N10656,ON,1,2 Aspect,CLEAR = [ ROUTE R3913 SET ];

N10673,ON,1,2 Aspect,CLEAR = [ ROUTE R3911 SET ];

N10676,ON,1,2 Aspect,CLEAR = [ ROUTE R3912 SET ];

N10681,ON,1,2 Aspect,CLEAR = [ ROUTE R3919 SET ];
CLEAR = [ ROUTE R3924 SET ];
CLEAR = [ ROUTE R3925 SET ];

N10718,ON,1,2 Aspect,CLEAR = [ ROUTE R3926 SET ];
CLEAR = [ ROUTE R3927 SET ];

N10719,ON,1,2 Aspect,CLEAR = [ ROUTE R3931 SET ];

N10734,ON,1,2 Aspect,CLEAR = [ ROUTE R3930 SET ];

N10736,ON,1,2 Aspect,CLEAR = [ ROUTE R3933 SET ];

N10777,ON,1,2 Aspect,CLEAR = [ ROUTE R3932 SET ];

N10781,ON,1,2 Aspect,CLEAR = [ ROUTE R3937 SET ];
CLEAR = [ ROUTE R3938 SET ];

N10805,ON,1,2 Aspect,CLEAR = [ ROUTE R3934 SET ];
CLEAR = [ ROUTE R3935 SET ];

N10818,ON,1,2 Aspect,CLEAR = [ ROUTE R3936 SET ];

N10819,ON,1,2 Aspect,CLEAR = [ ROUTE R4144 SET ];

N10821,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC3344 CLEAR ];

N10825,ON,1,2 Aspect,CLEAR = [ ROUTE R3940 SET ];

N10829,ON,1,2 Aspect,CLEAR = [ ROUTE R3939 SET ];

N10865,ON,1,2 Aspect,CLEAR = [ ROUTE R3942 SET ];

N10873,ON,1,2 Aspect,CLEAR = [ ROUTE R3941 SET ];

N10877,ON,1,2 Aspect,CLEAR = [ ROUTE R3945 SET ];

N10883,ON,1,2 Aspect,CLEAR = [ ROUTE R3943 SET ];

N10889,ON,1,2 Aspect,CLEAR = [ ROUTE R3944 SET ];

N10891,ON,1,2 Aspect,CLEAR = [ ROUTE R3947 SET ];

N10945,ON,1,2 Aspect,CLEAR = [ ROUTE R3946 SET ];

N10947,ON,1,2 Aspect,CLEAR = [ ROUTE R3949 SET ];

N10953,ON,1,2 Aspect,CLEAR = [ ROUTE R3948 SET ];

N10957,ON,1,2 Aspect,CLEAR = [ ROUTE R3952 SET ];

N10975,ON,1,2 Aspect,CLEAR = [ ROUTE R3950 SET ];

N10977,ON,1,2 Aspect,CLEAR = [ ROUTE R3951 SET ];

N10979,ON,1,2 Aspect,CLEAR = [ ROUTE R3957 SET ];
CLEAR = [ ROUTE R3958 SET ];

N11057,ON,1,2 Aspect,CLEAR = [ ROUTE R3953 SET ];
CLEAR = [ ROUTE R3954 SET ];
CLEAR = [ ROUTE R3955 SET ];
CLEAR = [ ROUTE R3956 SET ];

N11069,ON,1,2 Aspect,CLEAR = [ ROUTE R3960 SET ];

N11070,ON,1,2 Aspect,CLEAR = [ ROUTE R3961 SET ];

N11086,ON,1,2 Aspect,CLEAR = [ ROUTE R3959 SET ];

N11092,ON,1,2 Aspect,CLEAR = [ ROUTE R3963 SET ];

N11100,ON,1,2 Aspect,CLEAR = [ ROUTE R3962 SET ];

N11104,ON,1,2 Aspect,CLEAR = [ ROUTE R3965 SET ];

N11112,ON,1,2 Aspect,CLEAR = [ ROUTE R3964 SET ];

N11114,ON,1,2 Aspect,CLEAR = [ ROUTE R3967 SET ];

N11165,ON,1,2 Aspect,CLEAR = [ ROUTE R3966 SET ];

N11169,ON,1,2 Aspect,CLEAR = [ ROUTE R3969 SET ];

N11177,ON,1,2 Aspect,CLEAR = [ ROUTE R3968 SET ];

N11185,ON,1,2 Aspect,CLEAR = [ ROUTE R3975 SET ];
CLEAR = [ ROUTE R3976 SET ];
CLEAR = [ ROUTE R3977 SET ];
CLEAR = [ ROUTE R3978 SET ];
CLEAR = [ ROUTE R3979 SET ];
CLEAR = [ ROUTE R3980 SET ];
CLEAR = [ ROUTE R3981 SET ];
CLEAR = [ ROUTE R3982 SET ];
CLEAR = [ ROUTE R4008 SET ];
CLEAR = [ ROUTE R4013 SET ];
CLEAR = [ ROUTE R4014 SET ];

N11193,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC3496 CLEAR ];

N11195,ON,1,2 Aspect,CLEAR = [ ROUTE R3974 SET ];
CLEAR = [ ROUTE R3991 SET ];
CLEAR = [ ROUTE R3992 SET ];
CLEAR = [ ROUTE R3993 SET ];
CLEAR = [ ROUTE R3994 SET ];
CLEAR = [ ROUTE R3995 SET ];
CLEAR = [ ROUTE R3996 SET ];
CLEAR = [ ROUTE R4010 SET ];

N11198,ON,1,2 Aspect,CLEAR = [ ROUTE R3983 SET ];
CLEAR = [ ROUTE R3984 SET ];
CLEAR = [ ROUTE R3985 SET ];
CLEAR = [ ROUTE R3986 SET ];
CLEAR = [ ROUTE R3987 SET ];
CLEAR = [ ROUTE R3988 SET ];
CLEAR = [ ROUTE R3989 SET ];
CLEAR = [ ROUTE R3990 SET ];
CLEAR = [ ROUTE R4009 SET ];
CLEAR = [ ROUTE R4146 SET ];

N11232,ON,1,2 Aspect,CLEAR = [ ROUTE R3970 SET ];

N11236,ON,1,2 Aspect,CLEAR = [ ROUTE R3971 SET ];
CLEAR = [ ROUTE R4007 SET ];

N11241,ON,1,2 Aspect,CLEAR = [ ROUTE R3972 SET ];
CLEAR = [ ROUTE R4005 SET ];

N11243,ON,1,2 Aspect,CLEAR = [ ROUTE R3973 SET ];
CLEAR = [ ROUTE R4006 SET ];

N11268,ON,1,2 Aspect,CLEAR = [ ROUTE R4016 SET ];

N11282,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC3565 CLEAR ];

N11283,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC3566 CLEAR ];

N11284,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC3567 CLEAR ];

N11285,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC3568 CLEAR ];

N11286,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC3569 CLEAR ];

N11287,OFF,1,2 Aspect,CLEAR = [ TRACKCIRCUIT TC3570 CLEAR ];

N11299,ON,1,2 Aspect,CLEAR = [ ROUTE R4015 SET ];

N11309,ON,1,2 Aspect,CLEAR = [ ROUTE R4011 SET ];
CLEAR = [ ROUTE R4012 SET ];

N11314,ON,1,2 Aspect,CLEAR = [ ROUTE R4023 SET ];

N11330,ON,1,2 Aspect,CLEAR = [ ROUTE R4022 SET ];

N11374,ON,1,2 Aspect,CLEAR = [ ROUTE R4025 SET ];

N11382,ON,1,2 Aspect,CLEAR = [ ROUTE R4024 SET ];

N11386,ON,1,2 Aspect,CLEAR = [ ROUTE R4028 SET ];

N11394,ON,1,2 Aspect,CLEAR = [ ROUTE R4026 SET ];

N11404,ON,1,2 Aspect,CLEAR = [ ROUTE R4027 SET ];

N11408,ON,1,2 Aspect,CLEAR = [ ROUTE R4029 SET ];

N11479,ON,1,2 Aspect,CLEAR = [ ROUTE R4031 SET ];

N11483,ON,1,2 Aspect,CLEAR = [ ROUTE R4030 SET ];

N11486,ON,1,2 Aspect,CLEAR = [ ROUTE R4034 SET ];
CLEAR = [ ROUTE R4035 SET ];
CLEAR = [ ROUTE R4036 SET ];
CLEAR = [ ROUTE R4037 SET ];

N11515,ON,1,2 Aspect,CLEAR = [ ROUTE R4032 SET ];

N11516,ON,1,2 Aspect,CLEAR = [ ROUTE R4033 SET ];

N11524,ON,1,2 Aspect,CLEAR = [ ROUTE R4041 SET ];

N11528,ON,1,2 Aspect,CLEAR = [ ROUTE R4040 SET ];

N11545,ON,1,2 Aspect,CLEAR = [ ROUTE R4038 SET ];
CLEAR = [ ROUTE R4039 SET ];

N11550,ON,1,2 Aspect,CLEAR = [ ROUTE R4043 SET ];

N11559,ON,1,2 Aspect,CLEAR = [ ROUTE R4042 SET ];

N11564,ON,1,2 Aspect,CLEAR = [ ROUTE R4045 SET ];

N11569,ON,1,2 Aspect,CLEAR = [ ROUTE R4044 SET ];

N11668,ON,1,2 Aspect,CLEAR = [ ROUTE R4047 SET ];

N11671,ON,1,2 Aspect,CLEAR = [ ROUTE R4046 SET ];

N11676,ON,1,2 Aspect,CLEAR = [ ROUTE R4049 SET ];

N11679,ON,1,2 Aspect,CLEAR = [ ROUTE R4048 SET ];

N11682,ON,1,2 Aspect,CLEAR = [ ROUTE R4051 SET ];

N11687,ON,1,2 Aspect,CLEAR = [ ROUTE R4050 SET ];

N11690,ON,1,2 Aspect,CLEAR = [ ROUTE R4053 SET ];

N11695,ON,1,2 Aspect,CLEAR = [ ROUTE R4052 SET ];

