Track circuit,Description,ID,State,Last locked for Route
TC315,TC315: Paths = P768 P736 P737 P837 P838 P668 P670 P672 P674 P769 P770 P839 P840 P677 P679 P681 P805,null,CLEAR,
TC316,TC316: Paths = P771 P683 P806,null,CLEAR,
TC317,TC317: Paths = P772 P739 P841 P842 P741 P685 P1114 P1115 P862 P860 P1110 P1111 P807,null,CLEAR,
TC318,TC318: Paths = P773 P808,null,CLEAR,
TC319,TC319: Paths = P774 P843 P844 P689 P690 P809,null,CLEAR,
TC320,TC320: Paths = P775 P810,null,CLEAR,
TC321,TC321: Paths = P776 P845 P846 P694 P696 P811,null,CLEAR,
TC322,TC322: Paths = P777 P812,null,CLEAR,
TC323,TC323: Paths = P778 P847 P848 P698 P700 P813,null,CLEAR,
TC324,TC324: Paths = P779 P814,null,CLEAR,
TC325,TC325: Paths = P780 P849 P850 P705 P706 P974 P1037,null,CLEAR,
TC326,TC326: Paths = P802 P663 P665 P733 P888 P889 P735 P882,null,CLEAR,
TC327,TC327: Paths = P875 P740 P880,null,CLEAR,
TC328,TC328: Paths = P876 P893 P892 P688 P687 P686 P1109 P1108 P859 P861 P1113 P1112 P684 P881,null,CLEAR,
TC329,TC329: Paths = P877 P691 P884,null,CLEAR,
TC330,TC330: Paths = P878 P895 P894 P697 P695 P693 P692 P885,null,CLEAR,
TC331,TC331: Paths = P879 P886,null,CLEAR,
TC332,TC332: Paths = P887 P699 P701 P702 P703 P1057 P1058 P704 P1016,null,CLEAR,
TC333,TC333: Paths = P1006,null,CLEAR,
TC334,TC334: Paths = P1184 P1183,null,CLEAR,
TC335,TC335: Paths = P1218 P1217 P1093,null,CLEAR,
TC336,TC336: Paths = P1192,null,CLEAR,
TC337,TC337: Paths = P1219 P1220 P1007 P1221 P1222,null,CLEAR,
TC338,TC338: Paths = P1008,null,CLEAR,
TC339,TC339: Paths = P1036 P1040,null,CLEAR,
TC340,TC340: Paths = P1189,null,CLEAR,
TC341,TC341: Paths = P1223 P1224 P1082,null,CLEAR,
TC342,TC342: Paths = P1009 P1101,null,CLEAR,
TC343,TC343: Paths = P1169,null,CLEAR,
TC344,TC344: Paths = P1010 P1053,null,CLEAR,
TC345,TC345: Paths = P1013 P1088,null,CLEAR,
TC346,TC346: Paths = P1105 P1104,null,CLEAR,
TC347,TC347: Paths = P1011 P1052,null,CLEAR,
TC348,TC348: Paths = P1014 P1090,null,CLEAR,
TC349,TC349: Paths = P1187 P1188 P941 P991 P992 P942 P944 P946 P948 P950 P952 P953 P954 P956 P958 P960 P994 P995 P962 P1077 P1078 P1032 P1033 P998 P1001 P1002 P965 P967 P1069 P1070 P970 P1034,null,CLEAR,
TC350,TC350: Paths = P1012 P1081,null,CLEAR,
TC351,TC351: Paths = P1186 P1185,null,CLEAR,
TC352,TC352: Paths = P1017 P973 P1039,null,CLEAR,
TC353,TC353: Paths = P1099,null,CLEAR,
TC354,TC354: Paths = P1190 P1083,null,CLEAR,
TC355,TC355: Paths = P1018 P975 P1055,null,CLEAR,
TC356,TC356: Paths = P1191,null,CLEAR,
TC357,TC357: Paths = P1019 P1056 P1172 P1173,null,CLEAR,
TC358,TC358: Paths = P1020 P1059 P1171 P1170,null,CLEAR,
TC359,TC359: Paths = P1021 P976 P1041,null,CLEAR,
TC360,TC360: Paths = P1022 P1064 P1063 P981 P980 P898 P978 P977 P1042,null,CLEAR,
TC361,TC361: Paths = P1023 P901 P1049,null,CLEAR,
TC362,TC362: Paths = P1028 P1054,null,CLEAR,
TC363,TC363: Paths = P1038 P1085,null,CLEAR,
